Rank,Title,Rating,Director,Actor,Countries,Type,ReleaseTime,Duration (Mintue),FirstWeekIncome (10k),TotalIncome (10k),Link
52,美国往事,9.1,赛尔乔·莱翁内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文","意大利,美国"," 剧情 , 犯罪 ",2015/4/23,229,暂无,暂无,https://maoyan.com/films/1332
53,窃听风暴,9,弗洛里安·亨克尔·冯·多纳斯马尔克,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",德国," 剧情 , 悬疑 ",2006/3/23,137,暂无,暂无,https://maoyan.com/films/23127
54,天使爱美丽,8.4,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯","法国,德国", 爱情 ,2001/4/25,122,暂无,暂无,https://maoyan.com/films/1314
55,飞屋环游记,8.8,彼特·道格特,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",美国," 剧情 , 喜剧 , 动画 , 冒险 ",2009/8/4,96,暂无,7906,https://maoyan.com/films/614
56,乱世佳人,9,乔治·库克,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",美国," 剧情 , 爱情 , 历史 , 战争 ",1939/12/15,238,暂无,暂无,https://maoyan.com/films/7431
57,飞越疯人院,8.8,米洛斯·福尔曼,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",美国, 剧情 ,1975/11/19,133,暂无,暂无,https://maoyan.com/films/1322
58,消失的爱人,8.7,大卫·芬奇,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",美国," 剧情 , 悬疑 , 惊悚 , 犯罪 ",2014/9/26,149,暂无,暂无,https://maoyan.com/films/78997
59,美丽心灵,8.8,朗·霍华德,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",美国," 剧情 , 传记 ",2001/12/13,135,暂无,暂无,https://maoyan.com/films/11473
60,一一,8.9,杨德昌,"吴念真,金燕玲,李凯莉","中国台湾,日本"," 剧情 , 爱情 , 家庭 ",2017/7/28,173,暂无,暂无,https://maoyan.com/films/1383
61,布达佩斯大饭店,8.7,韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南","美国,德国,英国"," 剧情 , 喜剧 , 冒险 ",2014/6/14,100,暂无,暂无,https://maoyan.com/films/78449
62,大话西游之大圣娶亲,8.8,刘镇伟,"周星驰,朱茵,莫文蔚",中国大陆," 喜剧 , 爱情 , 动作 , 奇幻 ",2014/10/24,110,179,18683,https://maoyan.com/films/158
63,海边的曼彻斯特,8.8,肯尼斯·罗纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",美国," 剧情 , 家庭 ",2017/8/25,136,270,818,https://maoyan.com/films/338365
64,超脱,8.7,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",美国, 剧情 ,2011/4/25,97,暂无,暂无,https://maoyan.com/films/65496
65,爱在黎明破晓前,8.7,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特","美国,奥地利,瑞士", 爱情 ,1995/1/27,101,暂无,暂无,https://maoyan.com/films/4587
66,海蒂和爷爷,9.5,阿兰·葛斯彭纳,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹","瑞士,德国"," 剧情 , 家庭 , 冒险 ",2019/5/16,111,1013,2093,https://maoyan.com/films/337625
67,蝴蝶效应,8.7,埃里克·布雷斯,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特","美国,加拿大"," 剧情 , 科幻 , 悬疑 , 惊悚 ",2004/1/23,113,暂无,暂无,https://maoyan.com/films/1368
68,罗马假日,9,威廉·惠勒,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",美国," 剧情 , 喜剧 , 爱情 ",1953/8/20,118,暂无,暂无,https://maoyan.com/films/2641
69,低俗小说,8.7,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",美国," 剧情 , 喜剧 , 犯罪 ",1994/5/21,154,暂无,暂无,https://maoyan.com/films/1239
70,菊次郎的夏天,8.8,北野武,"北野武,关口雄介,岸本 加世子",日本," 剧情 , 喜剧 ",2020/9/25,120,597,906,https://maoyan.com/films/2212
71,釜山行,8.9,延尚昊,"孔刘,郑有美,马东锡",韩国," 动作 , 惊悚 , 灾难 ",2016/5/13,118,暂无,暂无,https://maoyan.com/films/343203
72,七宗罪,8.7,大卫·芬奇,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",美国," 剧情 , 悬疑 , 惊悚 , 犯罪 ",1995/9/22,127,暂无,暂无,https://maoyan.com/films/1321
73,春光乍泄,9.2,王家卫,"张国荣,梁朝伟,张震","中国香港,日本,韩国", 剧情 ,1997/5/30,96,暂无,暂无,https://maoyan.com/films/1597
74,无间道,9.1,刘伟强,"刘德华,梁朝伟,黄秋生",中国香港," 剧情 , 犯罪 ",2003/9/5,101,暂无,2,https://maoyan.com/films/224973
