Rank,Name,Score,ReleaseTime,Type,Director,Actor,Countries,Duration,FirstWeekBoxOffice,TotalBoxOffice,Link
25,泰坦尼克号,9.4,1998/4/3," 剧情 , 爱情 , 灾难 ",詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",美国,194,44388,130615,https://maoyan.com/films/267
26,你的名字。,9.2,2016/12/2," 爱情 , 动画 , 奇幻 ",新海诚,"上白石萌音,佟心竹,神木隆之介",日本,106,28657,57571,https://maoyan.com/films/344881
27,当幸福来敲门,9.3,2008/1/17," 剧情 , 家庭 , 传记 ",加布里埃莱·穆奇诺,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",美国,117,暂无,981,https://maoyan.com/films/899
28,三傻大闹宝莱坞,9.1,2011/12/8," 剧情 , 喜剧 , 冒险 ",拉吉库马尔·希拉尼,"阿米尔·汗,黄渤,卡琳娜·卡普",印度,171,742,1396,https://maoyan.com/films/43
29,天堂电影院,9.3,2021/6/11," 剧情 , 爱情 ",朱塞佩·托纳多雷,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",意大利,124,875,2000,https://maoyan.com/films/718
30,熔炉,8.8,2011/9/22, 剧情 ,黄东赫,"孔刘,郑有美,金智英",韩国,125,暂无,暂无,https://maoyan.com/films/67214
31,放牛班的春天,8.8,2004/10/16," 剧情 , 喜剧 , 音乐 ",克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔","法国,德国,瑞士",96,暂无,暂无,https://maoyan.com/films/1205
32,龙猫,9.2,2018/12/14," 动画 , 冒险 , 奇幻 , 家庭 ",宫崎骏,"秦岚,糸井重里,岛本须美",日本,86,8963,17370,https://maoyan.com/films/123
33,看不见的客人,9.4,2017/9/15," 犯罪 , 悬疑 , 惊悚 ",奥里奥尔·保罗,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",西班牙,106,3261,17258,https://maoyan.com/films/458721
34,教父,9.3,2015/4/18," 剧情 , 惊悚 , 犯罪 ",弗朗西斯·福特·科波拉,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",美国,175,暂无,暂无,https://maoyan.com/films/1247
35,头号玩家(IMAX 3D),9,2018/3/30," 动作 , 冒险 , 科幻 ",史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森",美国,140,39068,139668,https://maoyan.com/films/341178
36,被嫌弃的松子的一生,8.5,2006/5/27," 剧情 , 歌舞 ",中岛哲也,"中谷美纪,永山瑛太,伊势谷友介",日本,130,暂无,暂无,https://maoyan.com/films/20394
37,活着,9,1994/5/17," 剧情 , 家庭 , 历史 ",张艺谋,"葛优,巩俐,牛犇","中国大陆,中国香港",132,暂无,暂无,https://maoyan.com/films/1375
38,三块广告牌,8.6,2018/3/2," 剧情 , 犯罪 ",马丁·麦克唐纳,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",美国,115,1503,6499,https://maoyan.com/films/342754
39,请以你的名字呼唤我,8,2017/1/22," 爱情 , 剧情 ",卢卡·瓜达尼诺,"提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴","意大利,法国,巴西,美国,荷兰,德国",132,暂无,暂无,https://maoyan.com/films/409801
40,死亡诗社,8.7,1989/6/2, 剧情 ,彼得·威尔,"罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",美国,128,暂无,暂无,https://maoyan.com/films/1204
41,闻香识女人,8.8,1992/12/23, 剧情 ,马丁·布莱斯特,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",美国,157,暂无,暂无,https://maoyan.com/films/6289
42,疯狂动物城,9.5,2016/3/4," 动画 , 动作 , 冒险 ",拜伦·霍华德,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",美国,109,15517,153190,https://maoyan.com/films/246286
43,机器人总动员,9.3,2008/6/27," 喜剧 , 科幻 , 动画 ",安德鲁·斯坦顿,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",美国,98,暂无,暂无,https://maoyan.com/films/488
44,复仇者联盟4：终局之战,9.1,2019/4/24," 动作 , 冒险 , 奇幻 ",乔·罗素,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",美国,181,223284,425013,https://maoyan.com/films/248172
45,末代皇帝,8.7,1987/10/4, 剧情 ,贝纳尔多·贝托鲁奇,"尊龙,陈冲,彼得·奥图尔","英国,意大利,中国大陆,法国,美国",163,暂无,暂无,https://maoyan.com/films/2039
46,西西里的美丽传说,8.2,2000/10/26," 剧情 , 爱情 , 战争 ",朱塞佩·托纳多雷,"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",美国，意大利,109,暂无,暂无,https://maoyan.com/films/1284164
47,心灵奇旅,9.2,2020/12/25," 动画 , 喜剧 , 冒险 ",彼特·道格特,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",美国,101,3617,37618,https://maoyan.com/films/553231
48,让子弹飞,8.5,2010/12/16," 剧情 , 喜剧 , 动作 , 西部 ",姜文,"姜文,周润发,葛优","中国大陆,中国香港",132,暂无,63675,https://maoyan.com/films/182
49,本杰明·巴顿奇事,8.8,2008/12/25," 剧情 , 爱情 , 奇幻 ",大卫·芬奇,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",美国,166,暂无,暂无,https://maoyan.com/films/18318
50,搏击俱乐部,8.8,1999/9/10," 剧情 , 动作 , 悬疑 , 惊悚 ",大卫·芬奇,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特","美国,德国",139,暂无,暂无,https://maoyan.com/films/1291
51,阿凡达,9.4,2010/1/4," 动作 , 科幻 , 冒险 ",詹姆斯·卡梅隆,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹","美国,英国",162,暂无,171507,https://maoyan.com/films/243
52,美国往事,9,2015/4/23," 剧情 , 犯罪 ",赛尔乔·莱翁内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文","意大利,美国",229,暂无,暂无,https://maoyan.com/films/1332
53,窃听风暴,9,2006/3/23," 剧情 , 悬疑 ",弗洛里安·亨克尔·冯·多纳斯马尔克,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",德国,137,暂无,暂无,https://maoyan.com/films/23127
54,天使爱美丽,8.4,2001/4/25, 爱情 ,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯","法国,德国",122,暂无,暂无,https://maoyan.com/films/1314
55,飞屋环游记,8.8,2009/8/4," 剧情 , 喜剧 , 动画 , 冒险 ",彼特·道格特,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",美国,96,暂无,7906,https://maoyan.com/films/614
56,乱世佳人,9,1939/12/15," 剧情 , 爱情 , 历史 , 战争 ",乔治·库克,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",美国,238,暂无,暂无,https://maoyan.com/films/7431
57,飞越疯人院,8.8,1975/11/19, 剧情 ,米洛斯·福尔曼,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",美国,133,暂无,暂无,https://maoyan.com/films/1322
58,消失的爱人,8.7,2014/9/26," 剧情 , 悬疑 , 惊悚 , 犯罪 ",大卫·芬奇,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",美国,149,暂无,暂无,https://maoyan.com/films/78997
59,一一,8.9,2017/7/28," 剧情 , 爱情 , 家庭 ",杨德昌,"吴念真,金燕玲,李凯莉","中国台湾,日本",173,暂无,暂无,https://maoyan.com/films/1383
60,美丽心灵,8.8,2001/12/13," 剧情 , 传记 ",朗·霍华德,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",美国,135,暂无,暂无,https://maoyan.com/films/11473
61,大话西游之大圣娶亲,8.8,2014/10/24," 喜剧 , 爱情 , 动作 , 奇幻 ",刘镇伟,"周星驰,朱茵,莫文蔚",中国大陆,110,179,18683,https://maoyan.com/films/158
62,布达佩斯大饭店,8.7,2014/6/14," 剧情 , 喜剧 , 冒险 ",韦斯·安德森,"拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南","美国,德国,英国",100,暂无,暂无,https://maoyan.com/films/78449
63,海边的曼彻斯特,8.8,2017/8/25," 剧情 , 家庭 ",肯尼斯·罗纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",美国,136,270,818,https://maoyan.com/films/338365
64,超脱,8.7,2011/4/25, 剧情 ,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",美国,97,暂无,暂无,https://maoyan.com/films/65496
65,爱在黎明破晓前,8.7,1995/1/27, 爱情 ,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特","美国,奥地利,瑞士",101,暂无,暂无,https://maoyan.com/films/4587
66,海蒂和爷爷,9.5,2019/5/16," 剧情 , 家庭 , 冒险 ",阿兰·葛斯彭纳,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹","瑞士,德国",111,1013,2093,https://maoyan.com/films/337625
67,罗马假日,9,1953/8/20," 剧情 , 喜剧 , 爱情 ",威廉·惠勒,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",美国,118,暂无,暂无,https://maoyan.com/films/2641
68,蝴蝶效应,8.7,2004/1/23," 剧情 , 科幻 , 悬疑 , 惊悚 ",埃里克·布雷斯,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特","美国,加拿大",113,暂无,暂无,https://maoyan.com/films/1368
69,低俗小说,8.7,1994/5/21," 剧情 , 喜剧 , 犯罪 ",昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",美国,154,暂无,暂无,https://maoyan.com/films/1239
70,菊次郎的夏天,8.8,2020/9/25," 剧情 , 喜剧 ",北野武,"北野武,关口雄介,岸本 加世子",日本,120,597,906,https://maoyan.com/films/2212
71,釜山行,8.9,2016/5/13," 动作 , 惊悚 , 灾难 ",延尚昊,"孔刘,郑有美,马东锡",韩国,118,暂无,暂无,https://maoyan.com/films/343203
72,七宗罪,8.7,1995/9/22," 剧情 , 悬疑 , 惊悚 , 犯罪 ",大卫·芬奇,"布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",美国,127,暂无,暂无,https://maoyan.com/films/1321
73,春光乍泄,9.2,1997/5/30, 剧情 ,王家卫,"张国荣,梁朝伟,张震","中国香港,日本,韩国",96,暂无,暂无,https://maoyan.com/films/1597
74,无间道,9.1,2003/9/5," 剧情 , 犯罪 ",刘伟强,"刘德华,梁朝伟,黄秋生",中国香港,101,暂无,2,https://maoyan.com/films/224973
75,爱在日落黄昏时,8.7,2015/4/20," 剧情 , 爱情 ",理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",美国,80,暂无,暂无,https://maoyan.com/films/1287
76,穿条纹睡衣的男孩,9,2008/8/28," 剧情 , 战争 ",马克·赫尔曼,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯","英国,美国",94,暂无,暂无,https://maoyan.com/films/38099
77,心灵捕手,8.4,1997/12/5, 剧情 ,格斯·范·桑特,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",美国,126,暂无,暂无,https://maoyan.com/films/1575
78,剪刀手爱德华,8.8,1990/12/6," 剧情 , 爱情 , 奇幻 ",蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",美国,105,暂无,暂无,https://maoyan.com/films/513
79,重庆森林,8.6,1994/7/14," 剧情 , 悬疑 , 爱情 ",王家卫,"梁朝伟,王菲,金城武",中国香港,102,暂无,暂无,https://maoyan.com/films/1290
80,辩护人,8.8,2013/12/18, 剧情 ,杨宇硕,"宋康昊,郭度沅,吴达洙",韩国,127,暂无,暂无,https://maoyan.com/films/246433
81,控方证人,8.5,1957/12/17," 剧情 , 悬疑 , 犯罪 ",比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",美国,116,暂无,暂无,https://maoyan.com/films/4430
82,素媛,9.1,2013/10/2, 剧情 ,李濬益,"李甄,薛耿求,严智苑",韩国,122,暂无,暂无,https://maoyan.com/films/78538
83,波西米亚狂想曲,9.4,2019/3/22," 剧情 , 音乐 , 传记 ",布莱恩·辛格,"拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",英国,134,4181,9907,https://maoyan.com/films/1167831
84,断背山,8.9,2005/9/2," 剧情 , 爱情 , 家庭 ",李安,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯","美国,加拿大",134,暂无,暂无,https://maoyan.com/films/14652
85,时空恋旅人,8.9,2013/9/4," 喜剧 , 爱情 , 奇幻 ",理查德·柯蒂斯,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",英国,123,暂无,暂无,https://maoyan.com/films/78312
86,天空之城,9,1992/5/1," 动画 , 奇幻 , 冒险 ",宫崎骏,"寺田农,鹫尾真知子,龟山助清",日本,125,暂无,暂无,https://maoyan.com/films/1228
87,两杆大烟枪,8.7,1998/8/28," 惊悚 , 剧情 , 犯罪 , 喜剧 ",盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",英国,107,暂无,暂无,https://maoyan.com/films/2204
88,十二怒汉,9.1,1957/4/13," 剧情 , 悬疑 ",西德尼·吕美特,"亨利·方达,李·科布,马丁·鲍尔萨姆",美国,159,暂无,暂无,https://maoyan.com/films/2049
89,蝙蝠侠：黑暗骑士,9.3,2008/7/14," 剧情 , 动作 , 科幻 , 惊悚 ",克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特","美国,英国",152,暂无,暂无,https://maoyan.com/films/790
90,猫鼠游戏,8.6,2003/4/11," 剧情 , 传记 , 犯罪 ",史蒂文·斯皮尔伯格,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯","美国,加拿大",141,暂无,1200,https://maoyan.com/films/11105
91,血战钢锯岭,9.3,2016/12/8," 剧情 , 战争 , 历史 , 传记 ",梅尔·吉布森,"安德鲁·加菲尔德,雨果·维文,卢克·布雷西","澳大利亚,美国",139,11766,42582,https://maoyan.com/films/338349
92,真爱至上,8.6,2003/11/21," 剧情 , 喜剧 , 爱情 ",理查德·柯蒂斯,"休·格兰特,比尔·奈伊,连姆·尼森","英国,美国,法国",135,暂无,暂无,https://maoyan.com/films/1379
93,奇迹男孩,9.2,2018/1/19," 剧情 , 家庭 ",斯蒂芬·卓博斯基,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",美国,113,5467,19151,https://maoyan.com/films/672130
94,网络谜踪,8.6,2018/12/14," 剧情 , 悬疑 , 犯罪 ",阿尼什·查甘蒂,"约翰·赵,米切尔·拉,黛博拉·梅辛",美国,102,1829,3049,https://maoyan.com/films/1219776
95,大鱼,8.6,2003/12/4, 奇幻 ,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",美国,125,暂无,暂无,https://maoyan.com/films/1202
96,饮食男女,8.8,1994/8/3," 剧情 , 家庭 ",李安,"郎雄,吴倩莲,杨贵媚","中国台湾,美国",124,暂无,暂无,https://maoyan.com/films/1233
97,钢琴家,8.9,2002/5/24," 剧情 , 音乐 , 传记 , 战争 ",罗曼·波兰斯基,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基","法国,德国,英国,波兰",150,暂无,暂无,https://maoyan.com/films/4883
98,致命魔术,8.8,2006/10/17," 剧情 , 悬疑 , 惊悚 ",克里斯托弗·诺兰,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩","美国,英国",130,暂无,暂无,https://maoyan.com/films/20131
99,模仿游戏,9.3,2015/7/21," 剧情 , 战争 , 传记 ",莫滕·泰杜姆,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",英国,114,1889,5247,https://maoyan.com/films/78646
100,禁闭岛,8.7,2010/2/13," 剧情 , 悬疑 , 惊悚 ",马丁·斯科塞斯,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",美国,138,暂无,暂无,https://maoyan.com/films/907
